DIEAREA_mm^2,wire_length,power,Congestion,FP_CORE_UTIL,PL_TARGET_DENSITY,DIE_AREA,CORE_AREA
0.002461779425,795,2.38e-05,8.73,37.0,0.7,600.0,600.0
0.002417562,769,2.35e-05,8.99,38.0,0.7,600.0,600.0
0.002375701625,753,2.34e-05,8.3,39.0,0.7,600.0,600.0
0.002335661025,754,2.35e-05,8.37,40.0,0.7,600.0,600.0
0.0022974033,759,2.36e-05,8.65,41.0,0.7,600.0,600.0
0.0022608929,791,2.37e-05,8.26,42.0,0.7,600.0,600.0
0.0022256208,777,2.37e-05,8.75,43.0,0.7,600.0,600.0
0.002192036025,688,2.33e-05,8.4,44.0,0.7,600.0,600.0
0.0021596388,686,2.33e-05,8.47,45.0,0.7,600.0,600.0
0.002461779425,795,2.38e-05,8.73,37.0,0.7,700.0,600.0
0.002417562,769,2.35e-05,8.99,38.0,0.7,700.0,600.0
0.002375701625,753,2.34e-05,8.3,39.0,0.7,700.0,600.0
0.002335661025,754,2.35e-05,8.37,40.0,0.7,700.0,600.0
0.0022974033,759,2.36e-05,8.65,41.0,0.7,700.0,600.0
0.0022608929,791,2.37e-05,8.26,42.0,0.7,700.0,600.0
0.0022256208,777,2.37e-05,8.75,43.0,0.7,700.0,600.0
0.002192036025,688,2.33e-05,8.4,44.0,0.7,700.0,600.0
0.0021596388,686,2.33e-05,8.47,45.0,0.7,700.0,600.0
0.002461779425,795,2.38e-05,8.73,37.0,0.7,800.0,600.0
0.002417562,769,2.35e-05,8.99,38.0,0.7,800.0,600.0
0.002375701625,753,2.34e-05,8.3,39.0,0.7,800.0,600.0
0.002335661025,754,2.35e-05,8.37,40.0,0.7,800.0,600.0
0.0022974033,759,2.36e-05,8.65,41.0,0.7,800.0,600.0
0.0022608929,791,2.37e-05,8.26,42.0,0.7,800.0,600.0
0.0022256208,777,2.37e-05,8.75,43.0,0.7,800.0,600.0
0.002192036025,688,2.33e-05,8.4,44.0,0.7,800.0,600.0
0.0021596388,686,2.33e-05,8.47,45.0,0.7,800.0,600.0
0.002461779425,795,2.38e-05,8.73,37.0,0.7,900.0,600.0
0.002417562,769,2.35e-05,8.99,38.0,0.7,900.0,600.0
